,country,GA_FA,revision_id,article_quality,page,Population mid-2018 (millions),frequency,articles-per-population-percentage,high-quality-percentage
23448,Mexico,9,757217528,Stub,Tomasa Vives,130.8,1077,0.000823394495412844,0.8356545961002786
23449,Mexico,9,757217551,Stub,Valentina Batres Guadarrama,130.8,1077,0.000823394495412844,0.8356545961002786
23450,Mexico,9,757217564,Stub,Verónica Carreón Cervantes,130.8,1077,0.000823394495412844,0.8356545961002786
23451,Mexico,9,757217567,Stub,Verónica García Reyes,130.8,1077,0.000823394495412844,0.8356545961002786
23452,Mexico,9,757217570,Stub,Verónica Juárez Piña,130.8,1077,0.000823394495412844,0.8356545961002786
23453,Mexico,9,757217572,Stub,Verónica Sada Pérez,130.8,1077,0.000823394495412844,0.8356545961002786
23454,Mexico,9,757217575,Stub,Verónica Velasco,130.8,1077,0.000823394495412844,0.8356545961002786
23455,Mexico,9,757217595,Stub,Violeta Avilés Álvarez,130.8,1077,0.000823394495412844,0.8356545961002786
23456,Mexico,9,757217596,Stub,Violeta Lagunes Viveros,130.8,1077,0.000823394495412844,0.8356545961002786
23457,Mexico,9,757217597,Stub,Viviana Agundiz,130.8,1077,0.000823394495412844,0.8356545961002786
23458,Mexico,9,757217602,Stub,Wendy Rodríguez Galarza,130.8,1077,0.000823394495412844,0.8356545961002786
23459,Mexico,9,757217605,Stub,Xóchitl Montes de Oca,130.8,1077,0.000823394495412844,0.8356545961002786
23460,Mexico,9,757217607,Stub,Yadhira Yvette Tamayo Herrera,130.8,1077,0.000823394495412844,0.8356545961002786
23461,Mexico,9,757217609,Stub,Yary Gebhardt,130.8,1077,0.000823394495412844,0.8356545961002786
